Group Size,Blackboard Size,Time when Completed,Computational Cost
6,5,4013.33333333,0.00663580
6,5,3310.16666667,0.00547316
6,5,2406.83333333,0.00397955
6,5,10029.66666667,0.01658344
6,4,4048.33333333,0.00669367
6,4,19206.33333333,0.03175650
6,4,24100.00000003,0.03984788
6,4,9827.00000000,0.01624835
6,4,3364.00000000,0.00556217
6,4,6233.83333334,0.01030726
6,4,26838.83333339,0.04437638
6,4,2924.33333333,0.00483521
6,4,14762.16666665,0.02440834
6,4,713.66666667,0.00118000
6,3,49790.33333318,0.08232529
6,3,19674.83333333,0.03253114
6,3,12440.16666666,0.02056906
6,3,83809.83333348,0.13857446
6,3,10892.83333333,0.01801064
6,3,1720.16666667,0.00284419
6,3,450.83333333,0.00074543
6,3,18160.49999999,0.03002728
6,3,627.66666667,0.00103781
6,3,10497.66666666,0.01735725
6,2,87590.00000026,0.14482474
6,2,8860.50000000,0.01465030
6,2,11681.33333333,0.01931437
6,2,94389.83333379,0.15606785
6,2,496.00000000,0.00082011
6,2,25106.66666671,0.04151235
6,2,23801.50000003,0.03935433
6,2,6106.16666667,0.01009618
6,2,86548.83333356,0.14310323
6,2,6766.66666667,0.01118827
6,1,50249.16666651,0.08308394
6,1,119566.16666786,0.19769538
6,1,40100.83333332,0.06630429
6,1,76570.33333327,0.12660439
6,1,28303.50000006,0.04679812
6,1,118471.00000116,0.19588459
6,1,179053.83333207,0.29605462
6,1,53404.83333313,0.08830164
6,1,45790.99999991,0.07571263
6,1,35177.50000006,0.05816386
5,7,7125.20000000,0.00981757
5,7,6395.20000000,0.00881173
5,7,13924.00000002,0.01918541
5,7,11048.00000001,0.01522266
5,7,19431.00000004,0.02677331
5,7,31570.40000008,0.04349978
5,7,1069.60000000,0.00147377
5,7,27474.40000006,0.03785604
5,7,12440.20000001,0.01714093
5,7,1123.40000000,0.00154789
5,6,22335.00000005,0.03077464
5,6,19647.80000004,0.02707203
5,6,3716.80000000,0.00512125
5,6,8702.40000000,0.01199074
5,6,2809.80000000,0.00387153
5,6,6099.60000000,0.00840443
5,6,15585.60000002,0.02147487
5,6,40669.39999997,0.05603698
5,6,1604.00000000,0.00221010
5,6,51065.19999982,0.07036100
5,5,3257.80000000,0.00448881
5,5,31757.40000008,0.04375744
5,5,572.80000000,0.00078924
5,5,1983.40000000,0.00273286
5,5,2737.20000000,0.00377149
5,5,15717.80000002,0.02165702
5,5,12542.00000001,0.01728119
5,5,2305.60000000,0.00317681
5,5,29010.20000007,0.03997217
5,5,12770.20000001,0.01759562
5,4,2489.00000000,0.00342951
5,4,7386.40000000,0.01017747
5,4,13007.80000001,0.01792300
5,4,38401.80000000,0.05291253
5,4,18354.60000003,0.02529018
5,4,37938.20000001,0.05227375
5,4,9082.20000000,0.01251405
5,4,28462.60000007,0.03921765
5,4,37890.00000001,0.05220734
5,4,55839.39999975,0.07693921
5,3,67778.99999957,0.09339038
5,3,12641.80000001,0.01741871
5,3,523.00000000,0.00072062
5,3,30362.80000008,0.04183587
5,3,5534.40000000,0.00762566
5,3,25459.40000006,0.03507964
5,3,3899.20000000,0.00537257
5,3,82509.79999936,0.11368744
5,3,22042.00000005,0.03037092
5,3,2180.20000000,0.00300402
5,2,27643.40000007,0.03808890
5,2,2965.80000000,0.00408647
5,2,40753.59999997,0.05615300
5,2,10546.00000000,0.01453097
5,2,116392.99999887,0.16037395
5,2,22112.20000005,0.03046765
5,2,85173.19999932,0.11735725
5,2,18113.20000003,0.02495756
5,2,70298.99999954,0.09686260
5,2,13705.80000001,0.01888476
5,1,16836.60000003,0.02319858
5,1,5954.80000000,0.00820492
5,1,32874.60000008,0.04529679
5,1,210074.20000325,0.28945409
5,1,54972.59999976,0.07574487
5,1,312258.20000920,0.43024994
5,1,44478.79999991,0.06128582
5,1,22540.00000005,0.03105710
5,1,141832.79999928,0.19542659
5,1,653.60000000,0.00090057
4,7,10543.00000000,0.01162147
4,7,5681.25000000,0.00626240
4,7,5575.50000000,0.00614583
4,7,11449.25000000,0.01262043
4,7,2396.25000000,0.00264137
4,7,34700.50000000,0.03825011
4,7,18725.25000000,0.02064071
4,7,870.75000000,0.00095982
4,7,3064.50000000,0.00337798
4,7,21704.75000000,0.02392499
4,6,531.25000000,0.00058559
4,6,18250.75000000,0.02011767
4,6,8137.00000000,0.00896936
4,6,2898.25000000,0.00319472
4,6,14332.00000000,0.01579806
4,6,10486.50000000,0.01155919
4,6,12768.50000000,0.01407463
4,6,2143.75000000,0.00236304
4,6,4130.50000000,0.00455302
4,6,42778.25000000,0.04715416
4,5,17995.75000000,0.01983659
4,5,4773.00000000,0.00526124
4,5,49243.50000000,0.05428075
4,5,31139.25000000,0.03432457
4,5,6648.00000000,0.00732804
4,5,8620.50000000,0.00950231
4,5,41032.75000000,0.04523010
4,5,22486.25000000,0.02478643
4,5,10917.00000000,0.01203373
4,5,3450.25000000,0.00380319
4,4,654.00000000,0.00072090
4,4,13204.00000000,0.01455467
4,4,51105.75000000,0.05633350
4,4,1971.75000000,0.00217345
4,4,118208.75000000,0.13030065
4,4,24946.00000000,0.02749780
4,4,25611.75000000,0.02823165
4,4,44368.00000000,0.04890653
4,4,17718.25000000,0.01953070
4,4,11134.75000000,0.01227375
4,3,34098.50000000,0.03758653
4,3,8313.75000000,0.00916419
4,3,32742.75000000,0.03609210
4,3,27541.00000000,0.03035825
4,3,143008.25000000,0.15763696
4,3,102526.50000000,0.11301422
4,3,22795.50000000,0.02512731
4,3,2471.00000000,0.00272377
4,3,50069.50000000,0.05519125
4,3,12493.50000000,0.01377149
4,2,37436.75000000,0.04126626
4,2,150152.75000000,0.16551229
4,2,139920.00000000,0.15423280
4,2,39385.75000000,0.04341463
4,2,29792.25000000,0.03283978
4,2,35958.25000000,0.03963652
4,2,46769.75000000,0.05155396
4,2,116978.00000000,0.12894400
4,2,113497.75000000,0.12510775
4,2,49043.50000000,0.05406030
4,1,28078.75000000,0.03095100
4,1,77115.25000000,0.08500358
4,1,24493.75000000,0.02699928
4,1,177213.00000000,0.19534061
4,1,115730.25000000,0.12756862
4,1,249442.75000000,0.27495894
4,1,146025.50000000,0.16096285
4,1,7656.25000000,0.00843943
4,1,159262.50000000,0.17555390
4,1,63513.00000000,0.07000992
