m,b,t,c
3,7,43820.33333,0.036227127
3,7,109940.3333,0.090889826
3,7,65715,0.054327877
3,7,20196.66667,0.01669698
3,7,49155.66667,0.040637952
3,7,344145.6667,0.28451196
3,8,96155.33333,0.079493496
3,8,34839.66667,0.028802634
3,8,84424.33333,0.069795249
3,8,311840.3333,0.257804508
3,8,57288,0.047361111
3,8,32254.66667,0.026665564
3,8,105277,0.087034557
3,8,172106,0.142283399
3,8,19251.33333,0.015915454
3,8,9461,0.007821594
3,9,132009,0.109134425
3,9,5850.333333,0.004836585
3,9,60452.33333,0.049977127
3,9,36049,0.029802414
3,9,74095.33333,0.061256063
3,9,23349.33333,0.019303351
3,9,125892,0.104077381
3,9,17646.33333,0.014588569
3,9,4653.333333,0.003847002
3,9,43295.66667,0.035793375
3,10,3899.666667,0.003223931
3,10,39567,0.032710813
3,10,39724.66667,0.03284116
3,10,169490.6667,0.140121252
3,10,190478,0.157471892
3,10,62198.33333,0.05142058
3,10,120606.6667,0.099707892
3,10,7610.666667,0.006291887
3,10,21411.33333,0.017701168
3,10,1821.333333,0.001505732
3,11,20282,0.016767526
3,11,50583.33333,0.041818232
3,11,2394.666667,0.001979718
3,11,26104,0.021580688
3,11,20536,0.016977513
3,11,47900.33333,0.039600143
3,11,75149,0.062127149
3,11,26532.66667,0.021935075
3,11,4385.666667,0.003625716
3,11,267822.6667,0.221414242
3,12,777.6666667,0.000642912
3,12,23977,0.019822255
3,12,17252.66667,0.014263117
3,12,33341.33333,0.027563933
3,12,9078.666667,0.007505511
3,12,2376.666667,0.001964837
3,12,32792,0.027109788
3,12,28955,0.023937665
3,12,4129.333333,0.003413801
3,12,31645,0.026161541
3,13,63186.33333,0.052237379
3,13,35232.66667,0.029127535
3,13,26570.66667,0.02196649
3,13,94377,0.078023313
3,13,28727.66667,0.023749724
3,13,99322.66667,0.082111993
3,13,112848.6667,0.093294202
3,13,44951.33333,0.037162147
3,13,12607.66667,0.010423005
3,13,63232.33333,0.052275408
3,14,75670.66667,0.062558422
3,14,14403.66667,0.011907793
3,14,54803.33333,0.045306989
3,14,2651,0.002191634
3,14,13545,0.011197917
3,14,13691,0.011318618
3,14,99059.66667,0.081894566
3,14,15552.33333,0.012857418
3,14,735.3333333,0.000607914
3,14,18745.66667,0.01549741
4,1,23534.25,0.025941634
4,1,2449.75,0.002700342
4,1,93519.75,0.103086144
4,1,9079.25,0.010007992
4,1,30105.25,0.033184799
4,1,84372.75,0.093003472
4,1,21802.25,0.024032463
4,1,41293.75,0.045517802
4,1,17171.5,0.01892802
4,1,98175,0.108217593
4,2,28694.75,0.031630015
4,2,40249.25,0.044366457
4,2,17293.75,0.019062776
4,2,88793.5,0.097876433
4,2,4379.75,0.004827767
4,2,42492.5,0.046839175
4,2,10705.75,0.011800871
4,2,18716.5,0.020631063
4,2,54102.75,0.05963707
4,2,88617.75,0.097682705
4,3,63.25,6.972E-05
4,3,13256,0.014611993
4,3,379.75,0.000418596
4,3,13005.75,0.014336144
4,3,11418,0.012585979
4,3,55620.75,0.061310351
4,3,42704,0.04707231
4,3,40206.5,0.044319334
4,3,19375.25,0.021357198
4,3,17177.5,0.018934634
4,4,999.75,0.001102017
